Row,collision
scenario0,0
scenario1,0
scenario2,0
scenario3,1
scenario4,0
scenario5,0
scenario6,0
scenario7,0
scenario8,0
scenario9,0
scenario10,0
scenario11,0
scenario12,0
scenario13,0
scenario14,0
scenario15,0
scenario16,0
scenario17,0
scenario18,0
scenario19,0
scenario20,0
scenario21,0
scenario22,0
scenario23,0
scenario24,0
scenario25,0
scenario26,0
scenario27,0
scenario28,0
scenario29,0
scenario30,0
scenario31,0
scenario32,0
scenario33,0
scenario34,0
scenario35,0
scenario36,0
scenario37,0
scenario38,0
scenario39,0
scenario40,0
scenario41,0
scenario42,0
scenario43,0
scenario44,0
scenario45,0
scenario46,0
scenario47,0
scenario48,0
scenario49,0
scenario50,1
scenario51,0
scenario52,1
scenario53,0
scenario54,1
scenario55,0
scenario56,1
scenario57,1
scenario58,1
scenario59,0
scenario60,0
scenario61,0
scenario62,0
scenario63,0
scenario64,0
scenario65,0
scenario66,0
scenario67,0
scenario68,0
scenario69,0
scenario70,0
scenario71,0
scenario72,0
scenario73,0
scenario74,0
scenario75,0
scenario76,0
scenario77,0
scenario78,0
scenario79,0
scenario80,0
scenario81,0
scenario82,0
scenario83,0
scenario84,1
scenario85,0
scenario86,0
scenario87,0
scenario88,1
scenario89,0
scenario90,0
scenario91,1
scenario92,0
scenario93,0
scenario94,0
scenario95,0
scenario96,0
scenario97,0
scenario98,0
scenario99,0
scenario100,0
scenario101,0
scenario102,0
scenario103,0
scenario104,0
scenario105,1
scenario106,1
scenario107,1
scenario108,0
scenario109,0
scenario110,0
scenario111,0
scenario112,0
scenario113,0
scenario114,0
scenario115,1
scenario116,0
scenario117,1
scenario118,1
scenario119,0
scenario120,0
scenario121,0
scenario122,1
scenario123,0
scenario124,1
scenario125,0
scenario126,1
scenario127,1
scenario128,1
scenario129,0
scenario130,0
scenario131,1
scenario132,1
scenario133,1
scenario134,1
scenario135,1
scenario136,1
scenario137,1
scenario138,1
scenario139,1
scenario140,1
scenario141,1
scenario142,1
scenario143,1
scenario144,1
scenario145,1
scenario146,1
scenario147,1
scenario148,1
scenario149,1
scenario150,0
scenario151,1
scenario152,1
scenario153,1
scenario154,1
scenario155,1
scenario156,1
scenario157,1
scenario158,1
scenario159,1
scenario160,1
scenario161,1
scenario162,1
scenario163,1
scenario164,1
scenario165,1
scenario166,1
scenario167,1
scenario168,1
scenario169,1
scenario170,1
scenario171,1
scenario172,1
scenario173,1
scenario174,1
scenario175,0
scenario176,1
scenario177,1
scenario178,1
scenario179,1
scenario180,1
scenario181,1
scenario182,1
scenario183,1
scenario184,0
scenario185,0
scenario186,1
scenario187,1
scenario188,1
scenario189,1
scenario190,1
scenario191,1
scenario192,1
scenario193,0
scenario194,1
scenario195,0
scenario196,1
scenario197,1
scenario198,1
scenario199,1
scenario200,1
scenario201,1
scenario202,1
scenario203,1
scenario204,1
scenario205,1
scenario206,0
scenario207,0
scenario208,0
scenario209,0
scenario210,0
scenario211,0
scenario212,0
scenario213,0
scenario214,0
scenario215,0
scenario216,0
